id;name;tracks number;status
0hgTRxc6S2iLuO0GWVHj74;unknown2;14;
2e6H6lUpejSOizQBEhfZYN;Good Morning Rock;864;
44P6PwhCQ3qRZL4VgbasLk;Morning Blues;309;done
2d5ArN2MSsaXoi8GfAHT5j;Morning Chill Techno;56;
4fxypVmbmaMta8qpd1gTpE;HighEnergy Classical;28;
4WAK9hX9kMYdHpCapCmTAI;Dark Ambient;68;
4r2twUYtviwpCpFnrfkkgM;Nordic & Viking;98;
7BYmeIAfs7elvzCgK6HB2q;unknown3;16;
37i9dQZF1DWSnDyPAn5upE;ethereal voices;100;
6qwcOZ2T8TYtexPqaMPpWp;Electronica Downtempo Ambient;133;
37i9dQZF1DX1n9whBbBKoL;Floating Through Space;167;
37i9dQZF1DXaf6XmhwlgC6;Atmospheric Focus;261;
37i9dQZF1DX0wMD4IoQ5aJ;Electronic Focus;191;
6DOf162Yn63dwZi4P7W1JU;Terrocore;9;
1RDOX0agc2B9DmXGwwtQFl;Musicoterapia para Gatos;31;
5E2QWTvpIo5GRy59VPqoxO;SOM AMBIENTE INiCIO DE FESTA;553;
3xzW2Enhd6Nsmq4hWyNgQc;Ambient 2024;111;
5YaENkqeE9CnQJYwztoxfX;Ambient Cyberpunk Aesthetic;107;
0gUumIGV1k3Cn2eAgffJQG;SMP 034;11;
18AX5Y5JCzyNOUed29nIMP;Lowkey Tech;150;
37i9dQZF1DX0r3x8OtiwEM;Lowkey Tech;60;
30KzELzmiNewtDp8wlyOOt;AMBIENT;328;
37i9dQZF1DXdLEN7aqioXM;Retrowave Outrun;150;
569ASLkAaigoLJKsXl17US;Ambient Study;70;
2ZSKNLLXXojLyDmHqRg9FZ;LAB with Anton Belyaev;28;copy
37i9dQZF1DZ06evO1gB0pW;This Is Johnny Lloyd;50;
3BOxfexQyBa1tsEZ1tJFVQ;Lofi Hip Hop 2024 Top 100;357;
02lBBmcAENVkMnqi02kVWh;unknown4;20;
5sVf2qKYSSMrpLSx6AgKTR;Shake N Stomp Dick Dale;89;done
1nXFGXWyz020KXhvyeqgMv;Red Axes vs Moscoman;12;
6McRhDTBd9HebwWZi7CsgH;AquaphoraKelela Mix;12;
4Ym6zZZ9yy4xLzsahDnOtS;HVOB Further Future;63;
30jgeHLFMtTVKn5Jd5b0hs;Hard Harder Hardst x Club Vaag;116;
6qERHledLHtr69Ktzkmava;Calvi on the Rocks 2019;76;
3uKJrjIbZwo3uEKfQvPLN9;Bon Entendeur Independante Gardin;19;
1wUbX9E8eMMzmyfXrzKdoM;RADIO VELOURS;22;
7J6ymhzb9yz51gxdUQRw7q;Jubel Nora En Pure Klingande;12;
37i9dQZF1DWWtqHeytOZ8f;Lava Lamp;200;
3KWpY7dtunmM6BS0pDkJMH;Huoratron;21;
6zUDezbPxqcCMSmeIGlcbm;Last30 09 10;217;
507eAquzCZKgkCTV2rswE1;Stay Shore;99;
17H9JcJFQCnxzygIOLdrVc;Hayden James Rufus Gorgon;306;
1hMuiorNiIAPhs1tEEAwsE;aufnahme wiedergabe 2020;64;
5Ed43bVfWIyUOfnozcVKzv;Cigarettes Indie Rock;349;
0azPHEkHv6Hq32Fytat4Rg;unknown1;89;
37i9dQZF1DX84lm9VKJ19V;Flume;55;
37i9dQZF1E4v91kKmNP1Aj;TerrorMasta Radio;50;
37i9dQZF1DWZESE3fHLhmD;Sommergefuhle;90;done
37i9dQZF1DZ06evO1YbO80;This Is Igor;50;done
37i9dQZF1DX1lnB9anGfHa;Terra Incognita;75;done
37i9dQZF1DX8NzAadCccWE;SHERELLE;100;done
37i9dQZF1DX2St1113729e;helium;100;done
37i9dQZF1DX62XscWX9t6h;Folk Fabrique;100;done
61cTb1pILZih9WPAvSMiX8;Industrial Techno WNDRLST;43;done
3AGxsMv6EPdixh0A2LWquv;Industrial Ambient;86;done
37i9dQZF1DX7RL0gBxlbK0;Rave Factory;50;done
31ex9Ut6OVmYi7AMEqK65n;HARDCORE by DARKSIDE;137;done
0W0iJdqaS2I193ebkt0pkQ;Technodome Scottish Oldskool;31;done
1jGbzOWTOt7baiIhvraogO;INDUSTRIAL HARDCORE by Motormouth Recordz;111;done
37i9dQZF1DXa2SPUyWl8Y5;Beats to think to;80;done
37i9dQZF1DX2pprEpa9URZ;Organica;75;done
37i9dQZF1DX6J5NfMJS675;TECHNO BUNKER;85;done
37i9dQZF1DX4fgrmoIzHtd;Gui Boratto;53;done
37i9dQZF1DWZkxJwAfCZA3;Maya Jane Coles;40;done
37i9dQZF1DWZtGWF9Ltb0N;Sub Low;150;done
37i9dQZF1DZ06evO3TIC2b;This Is Current Value;50;done
37i9dQZF1DXdziGPHNE40t;Jazzy Morning;410;done
37i9dQZF1DXc5e2bJhV6pu;Morning Motivation;80;done
37i9dQZF1DX3ohNxI5tB79;Morning Rhythm;80;done
6mgWUWQhvRnkuxUZaE96vZ;Morning Chill;288;done
37i9dQZF1DWUraJYejk11q;Genre Glitch;50;done
37i9dQZF1DWSDoVybeQisg;Psychedelic Rock;75;done
4RM93CShh3QYRKPnHmChSm;industrial techno;74;done
5NbleROaHyKOZDwJEPm7f5;Ambient Space Soundscapes;180;done
7rg9hm19AsS6ecb80tUPPX;Ambient Electronica;120;done
0HSvIeeaZakKnalII4pDn0;Sleep Meditation;25;done
49RyM6nIP0XFlwy69nUoz9;Ambient Techno;556;done
2ygJCNJkFzv14AjeawuJpA;Ambient Synthwave Spacewave;126;
04AKYZlQ0dfdzIvEh08tx0;TERRORCORE by Motormouth Recordz;107;
37i9dQZF1DX7cZxylhU2bi;BRIT Awards 2024;79;
3JDyJxCw5z1uJbXs4lW7xt;Future Star Indie Pop;255;
0qiCvllgV19dxGJzBtyxby;Top Trending Electronic;150;
37i9dQZF1DX5mB2C8gBeUM;Dance 2023;300;
3PQ89N68Uo4DSzJtFFKLa8;Cinematic Indie Rock;72;
4sbQrfkAfmIaEJ2khweqqj;For Exoplanets Ambient Soundscapes;10;
5a7UQDOy8iyFyMJ9D1nlBo;Intergalactic Sound Design;75;
75XxDtyNxszx6PO3vv3QWk;Attack On Titan Ambience;15;
2BlLfZ10JvfagZCNFjP0Zo;Japanese Garden Ambience;50;
4c6k5VRJIRK9BY8Nhn9c9C;Dark Ambient Horror;15;
5GtaDJFh9ppPI2gnGfJKN6;Meditation;16;
5tKfZdpcEX0xSyhHNDu56N;Deep Relaxation;49;
7n8zkgZ5MQM52fAMulKnOG;Hades Into the Abyss;9;
59erfjKKG4EkRCH63c06XI;Cyberpunk 2024;50;
2AtOnmEefbxy26Gr82j5AZ;Lofi HipHop Chill & Study;91;
3OEY5e9lt03iC0jxDPL5NX;Dreamy Synths;98;
37i9dQZF1DX1ewVhAJ17m4;Synthwave Surfers;50;
6RCc4nnHDCOe7FioQeDo0u;Cyberpunk 2077;30;
37i9dQZF1DWVAzUVJ6vvkM;Park Hangs;100;
1n6r1wbexqI5eBuYVCnGjc;FEED THE VOID;17;
7JG1PIsRil1NRNJYVq6Axf;Void;20;
1OHvU8vchpCHuVPM9L2kXD;Space Ambient;26;
6xBJShm4kciknN8KmuClgN;Space Ambient;70;
2GBAD2QwSUKj20vTBH8dAo;Relaxation Ambient;96;
2ZYIBgujWZqksO6wjeSREo;Ambient Post Rock;30;
5nZhm3CrduTBwq2BKw2Y6H;the void;13;
5qTzqNNGhnniU28REHpxdI;AvantGarde Metal;40;
4v4LG9RCVBGdUv7Fe95JPB;Ambient Electronics;100;
37i9dQZF1DZ06evO1lIj3r;This Is Rainforest;50;
37i9dQZF1DX0VOXL5eSgu9;Hyperpop;75;
37i9dQZF1DX82SvZY6pevx;Pure Focus;155;
37i9dQZF1DWYr67eGnFZ0F;Euphoric Hardstyle;51;
37i9dQZF1DWT0qzmq6x3VA;edm brand new;50;
4VZpBZxnGeT5MQ97zVVZkB;Ambient for Studying;170;
1OaRp58a0aUv9AhFx2oIdJ;Meditation;60;
6G7A2tGgiYTTB23cZbGICw;Ambient Relaxation;180;
